id,name,species,type1,type2,abilities,hp,defense,spDefense,attack,spAttack,speed,statTotal,eggCycle,catchRate,height,weight,mRatio,fRatio,generation,eggGroup1,eggGroup2,legendary,colour,evolutionLine
30,Nidorina,Poison Pin Pokémon,poison,,"['Poison Point', 'Rivalry', 'Hustle']",70,67,55,62,55,56,365,5120,120,0.8,20,0,100,1,Undiscovered,,FALSE,blue,12
31,Nidoqueen,Drill Pokémon,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",90,87,85,92,75,76,505,5120,45,1.3,60,0,100,1,Undiscovered,,FALSE,blue,12
32,Nidoran♂,Poison Pin Pokémon,poison,,"['Poison Point', 'Rivalry', 'Hustle']",46,40,40,57,40,50,273,5120,235,0.5,9,100,0,1,Monster,Field,FALSE,purple,13
33,Nidorino,Poison Pin Pokémon,poison,,"['Poison Point', 'Rivalry', 'Hustle']",61,57,55,72,55,65,365,5120,120,0.9,19.5,100,0,1,Monster,Field,FALSE,purple,13
34,Nidoking,Drill Pokémon,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",81,77,75,102,85,85,505,5120,45,1.4,62,100,0,1,Monster,Field,FALSE,purple,13
35,Clefairy,Fairy Pokémon,fairy,,"['Cute Charm', 'Magic Guard', 'Friend Guard']",70,48,65,45,60,35,323,2560,150,0.6,7.5,25,75,1,Fairy,,FALSE,pink,14
36,Clefable,Fairy Pokémon,fairy,,"['Cute Charm', 'Magic Guard', 'Unaware']",95,73,90,70,95,60,483,2560,25,1.3,40,25,75,1,Fairy,,FALSE,pink,14
37,Vulpix,Fox Pokémon,fire,ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",38,40,65,41,50,65,299,5120,190,0.6,9.9,25,75,1,Field,,FALSE,brown,15
38,Ninetales,Fox Pokémon,fire,ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",73,75,100,67,81,109,505,5120,75,1.1,19.9,25,75,1,Field,,FALSE,yellow,15
39,Jigglypuff,Balloon Pokémon,normal,fairy,"['Cute Charm', 'Competitive', 'Friend Guard']",115,20,25,45,45,20,270,2560,170,0.5,5.5,25,75,1,Fairy,,FALSE,pink,16
40,Wigglytuff,Balloon Pokémon,normal,fairy,"['Cute Charm', 'Competitive', 'Frisk']",140,45,50,70,85,45,435,2560,50,1,12,25,75,1,Fairy,,FALSE,pink,16
41,Zubat,Bat Pokémon,poison,flying,"['Inner Focus', 'Infiltrator']",40,35,40,45,30,55,245,3840,255,0.8,7.5,50,50,1,Flying,,FALSE,purple,17
42,Golbat,Bat Pokémon,poison,flying,"['Inner Focus', 'Infiltrator']",75,70,75,80,65,90,455,3840,90,1.6,55,50,50,1,Flying,,FALSE,purple,17
43,Oddish,Weed Pokémon,grass,poison,"['Chlorophyll', 'Run Away']",45,55,65,50,75,30,320,5120,255,0.4,5.4,50,50,1,Grass,,FALSE,blue,18
44,Gloom,Weed Pokémon,grass,poison,"['Chlorophyll', 'Stench']",60,70,75,65,85,40,395,5120,120,0.8,8.6,50,50,1,Grass,,FALSE,blue,18
45,Vileplume,Flower Pokémon,grass,poison,"['Chlorophyll', 'Effect Spore']",75,85,90,80,110,50,490,5120,45,1.2,18.6,50,50,1,Grass,,FALSE,red,18
46,Paras,Mushroom Pokémon,bug,grass,"['Effect Spore', 'Dry Skin', 'Damp']",35,55,55,70,45,25,285,5120,190,0.3,5.4,50,50,1,Bug,Grass,FALSE,red,19
47,Parasect,Mushroom Pokémon,bug,grass,"['Effect Spore', 'Dry Skin', 'Damp']",60,80,80,95,60,30,405,5120,75,1,29.5,50,50,1,Bug,Grass,FALSE,red,19
48,Venonat,Insect Pokémon,bug,poison,"['Compoundeyes', 'Tinted Lens', 'Run Away']",60,50,55,55,40,45,305,5120,190,1,30,50,50,1,Bug,,FALSE,purple,20
49,Venomoth,Poison Moth Pokémon,bug,poison,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",70,60,75,65,90,90,450,5120,75,1.5,12.5,50,50,1,Bug,,FALSE,purple,20
50,Diglett,Mole Pokémon,ground,ground,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",10,30,45,55,35,90,265,5120,255,0.2,0.8,50,50,1,Field,,FALSE,brown,21
51,Dugtrio,Mole Pokémon,ground,ground,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",35,60,70,100,50,110,425,5120,50,0.7,33.3,50,50,1,Field,,FALSE,brown,21
52,Meowth,Scratch Cat Pokémon,normal,dark,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",40,35,40,35,50,90,290,5120,255,0.4,4.2,50,50,1,Field,,FALSE,yellow,22
53,Persian,Classy Cat Pokémon,normal,dark,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",65,60,65,60,75,115,440,5120,90,1,32,50,50,1,Field,,FALSE,yellow,22
54,Psyduck,Duck Pokémon,water,,"['Damp', 'Cloud Nine', 'Swift Swim']",50,48,50,52,65,55,320,5120,190,0.8,19.6,50,50,1,Water1,Field,FALSE,yellow,23
55,Golduck,Duck Pokémon,water,,"['Damp', 'Cloud Nine', 'Swift Swim']",80,78,80,82,95,85,500,5120,75,1.7,76.6,50,50,1,Water1,Field,FALSE,blue,23
56,Mankey,Pig Monkey Pokémon,fighting,,"['Vital Spirit', 'Anger Point', 'Defiant']",40,35,45,80,35,70,305,5120,190,0.5,28,50,50,1,Field,,FALSE,brown,24
57,Primeape,Pig Monkey Pokémon,fighting,,"['Vital Spirit', 'Anger Point', 'Defiant']",65,60,70,105,60,95,455,5120,75,1,32,50,50,1,Field,,FALSE,brown,24
58,Growlithe,Puppy Pokémon,fire,,"['Intimidate', 'Flash Fire', 'Justified']",55,45,50,70,70,60,350,5120,190,0.7,19,75,25,1,Field,,FALSE,brown,25
59,Arcanine,Legendary Pokémon,fire,,"['Intimidate', 'Flash Fire', 'Justified']",90,80,80,110,100,95,555,5120,75,1.9,155,75,25,1,Field,,FALSE,brown,25
60,Poliwag,Tadpole Pokémon,water,,"['Water Absorb', 'Damp', 'Swift Swim']",40,40,40,50,40,90,300,5120,255,0.6,12.4,50,50,1,Water1,,FALSE,blue,26
61,Poliwhirl,Tadpole Pokémon,water,,"['Water Absorb', 'Damp', 'Swift Swim']",65,65,50,65,50,90,385,5120,120,1,20,50,50,1,Water1,,FALSE,blue,26
62,Poliwrath,Tadpole Pokémon,water,fighting,"['Water Absorb', 'Damp', 'Swift Swim']",90,95,90,95,70,70,510,5120,45,1.3,54,50,50,1,Water1,,FALSE,blue,26
63,Abra,Psi Pokémon,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",25,15,55,20,105,90,310,5120,200,0.9,19.5,75,25,1,Human-Like,,FALSE,brown,27
64,Kadabra,Psi Pokémon,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",40,30,70,35,120,105,400,5120,100,1.3,56.5,75,25,1,Human-Like,,FALSE,brown,27
65,Alakazam,Psi Pokémon,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",55,65,105,50,175,150,600,5120,50,1.5,48,75,25,1,Human-Like,,FALSE,brown,27
66,Machop,Superpower Pokémon,fighting,,"['Guts', 'No Guard', 'Steadfast']",70,50,35,80,35,35,305,5120,180,0.8,19.5,75,25,1,Human-Like,,FALSE,gray,28
67,Machoke,Superpower Pokémon,fighting,,"['Guts', 'No Guard', 'Steadfast']",80,70,60,100,50,45,405,5120,90,1.5,70.5,75,25,1,Human-Like,,FALSE,gray,28
68,Machamp,Superpower Pokémon,fighting,,"['Guts', 'No Guard', 'Steadfast']",90,80,85,130,65,55,505,5120,45,1.6,130,75,25,1,Human-Like,,FALSE,gray,28
69,Bellsprout,Flower Pokémon,grass,poison,"['Chlorophyll', 'Gluttony']",50,35,30,75,70,40,300,5120,255,0.7,4,50,50,1,Grass,,FALSE,green,29
70,Weepinbell,Flycatcher Pokémon,grass,poison,"['Chlorophyll', 'Gluttony']",65,50,45,90,85,55,390,5120,120,1,6.4,50,50,1,Grass,,FALSE,green,29
71,Victreebel,Flycatcher Pokémon,grass,poison,"['Chlorophyll', 'Gluttony']",80,65,70,105,100,70,490,5120,45,1.7,15.5,50,50,1,Grass,,FALSE,green,29
72,Tentacool,Jellyfish Pokémon,water,poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",40,35,100,40,50,70,335,5120,190,0.9,45.5,50,50,1,Water3,,FALSE,blue,30
73,Tentacruel,Jellyfish Pokémon,water,poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",80,65,120,70,80,100,515,5120,60,1.6,55,50,50,1,Water3,,FALSE,blue,30
74,Geodude,Rock Pokémon,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",40,100,30,80,30,20,300,3840,255,0.4,20,50,50,1,Mineral,,FALSE,brown,31
75,Graveler,Rock Pokémon,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",55,115,45,95,45,35,390,3840,120,1,105,50,50,1,Mineral,,FALSE,brown,31
76,Golem,Megaton Pokémon,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",80,130,65,120,55,45,495,3840,45,1.4,300,50,50,1,Mineral,,FALSE,brown,31
77,Ponyta,Fire Horse Pokémon,fire,,"['Run Away', 'Flash Fire', 'Flame Body']",50,55,65,85,65,90,410,5120,190,1,30,50,50,1,Field,,FALSE,yellow,32
78,Rapidash,Fire Horse Pokémon,fire,,"['Run Away', 'Flash Fire', 'Flame Body']",65,70,80,100,80,105,500,5120,60,1.7,95,50,50,1,Field,,FALSE,yellow,32
79,Slowpoke,Dopey Pokémon,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",90,65,40,65,40,15,315,5120,190,1.2,36,50,50,1,Monster,Water1,FALSE,pink,33
80,Slowbro,Hermit Crab Pokémon,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",95,180,80,75,130,30,590,5120,75,1.6,78.5,50,50,1,Monster,Water1,FALSE,pink,33
81,Magnemite,Magnet Pokémon,electric,steel,"['Magnet Pull', 'Sturdy', 'Analytic']",25,70,55,35,95,45,325,5120,190,0.3,6,0,0,1,Mineral,,FALSE,gray,34
82,Magneton,Magnet Pokémon,electric,steel,"['Magnet Pull', 'Sturdy', 'Analytic']",50,95,70,60,120,70,465,5120,60,1,60,0,0,1,Mineral,,FALSE,gray,34
83,Farfetch'd,Wild Duck Pokémon,normal,flying,"['Keen Eye', 'Inner Focus', 'Defiant']",52,55,62,90,58,60,377,5120,45,0.8,15,50,50,1,Flying,Field,FALSE,brown,35
84,Doduo,Twin Bird Pokémon,normal,flying,"['Run Away', 'Early Bird', 'Tangled Feet']",35,45,35,85,35,75,310,5120,190,1.4,39.2,50,50,1,Flying,,FALSE,brown,36
85,Dodrio,Triple Bird Pokémon,normal,flying,"['Run Away', 'Early Bird', 'Tangled Feet']",60,70,60,110,60,110,470,5120,45,1.8,85.2,50,50,1,Flying,,FALSE,brown,36
86,Seel,Sea Lion Pokémon,water,,"['Thick Fat', 'Hydration', 'Ice Body']",65,55,70,45,45,45,325,5120,190,1.1,90,50,50,1,Water1,Field,FALSE,white,37
87,Dewgong,Sea Lion Pokémon,water,ice,"['Thick Fat', 'Hydration', 'Ice Body']",90,80,95,70,70,70,475,5120,75,1.7,120,50,50,1,Water1,Field,FALSE,white,37
88,Grimer,Sludge Pokémon,poison,poison,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",80,50,50,80,40,25,325,5120,190,0.9,30,50,50,1,Amorphous,,FALSE,purple,38
89,Muk,Sludge Pokémon,poison,poison,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",105,75,100,105,65,50,500,5120,75,1.2,30,50,50,1,Amorphous,,FALSE,purple,38
90,Shellder,Bivalve Pokémon,water,,"['Shell Armor', 'Skill Link', 'Overcoat']",30,100,25,65,45,40,305,5120,190,0.3,4,50,50,1,Water3,,FALSE,purple,39
91,Cloyster,Bivalve Pokémon,water,ice,"['Shell Armor', 'Skill Link', 'Overcoat']",50,180,45,95,85,70,525,5120,60,1.5,132.5,50,50,1,Water3,,FALSE,purple,39
92,Gastly,Gas Pokémon,ghost,poison,['Levitate'],30,30,35,35,100,80,310,5120,190,1.3,0.1,50,50,1,Amorphous,,FALSE,purple,40
93,Haunter,Gas Pokémon,ghost,poison,['Levitate'],45,45,55,50,115,95,405,5120,90,1.6,0.1,50,50,1,Amorphous,,FALSE,purple,40
94,Gengar,Shadow Pokémon,ghost,poison,['Cursed Body'],60,80,95,65,170,130,600,5120,45,1.5,40.5,50,50,1,Amorphous,,FALSE,purple,40
95,Onix,Rock Snake Pokémon,rock,ground,"['Rock Head', 'Sturdy', 'Weak Armor']",35,160,45,45,30,70,385,6400,45,8.8,210,50,50,1,Mineral,,FALSE,gray,41
96,Drowzee,Hypnosis Pokémon,psychic,,"['Insomnia', 'Forewarn', 'Inner Focus']",60,45,90,48,43,42,328,5120,190,1,32.4,50,50,1,Human-Like,,FALSE,yellow,42
97,Hypno,Hypnosis Pokémon,psychic,,"['Insomnia', 'Forewarn', 'Inner Focus']",85,70,115,73,73,67,483,5120,75,1.6,75.6,50,50,1,Human-Like,,FALSE,yellow,42
98,Krabby,River Crab Pokémon,water,,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",30,90,25,105,25,50,325,5120,225,0.4,6.5,50,50,1,Water3,,FALSE,red,43
99,Kingler,Pincer Pokémon,water,,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",55,115,50,130,50,75,475,5120,60,1.3,60,50,50,1,Water3,,FALSE,red,43
100,Voltorb,Ball Pokémon,electric,,"['Soundproof', 'Static', 'Aftermath']",40,50,55,30,55,100,330,5120,190,0.5,10.4,0,0,1,Mineral,,FALSE,red,44
101,Electrode,Ball Pokémon,electric,,"['Soundproof', 'Static', 'Aftermath']",60,70,80,50,80,150,490,5120,60,1.2,66.6,0,0,1,Mineral,,FALSE,red,44
102,Exeggcute,Egg Pokémon,grass,psychic,"['Chlorophyll', 'Harvest']",60,80,45,40,60,40,325,5120,90,0.4,2.5,50,50,1,Grass,,FALSE,pink,45
103,Exeggutor,Coconut Pokémon,grass,psychic,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",95,85,75,105,125,45,530,5120,45,2,120,50,50,1,Grass,,FALSE,yellow,45
104,Cubone,Lonely Pokémon,ground,,"['Rock Head', 'Lightningrod', 'Battle Armor']",50,95,50,50,40,35,320,5120,190,0.4,6.5,50,50,1,Monster,,FALSE,brown,46
105,Marowak,Bone Keeper Pokémon,ground,fire,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",60,110,80,80,50,45,425,5120,75,1,45,50,50,1,Monster,,FALSE,brown,46
106,Hitmonlee,Kicking Pokémon,fighting,,"['Limber', 'Reckless', 'Unburden']",50,53,110,120,35,87,455,6400,45,1.5,49.8,100,0,1,Human-Like,,FALSE,brown,47
107,Hitmonchan,Punching Pokémon,fighting,,"['Keen Eye', 'Iron Fist', 'Inner Focus']",50,79,110,105,35,76,455,6400,45,1.4,50.2,100,0,1,Human-Like,,FALSE,brown,47
108,Lickitung,Licking Pokémon,normal,,"['Own Tempo', 'Oblivious', 'Cloud Nine']",90,75,75,55,60,30,385,5120,45,1.2,65.5,50,50,1,Monster,,FALSE,pink,48
109,Koffing,Poison Gas Pokémon,poison,,['Levitate'],40,95,45,65,60,35,340,5120,190,0.6,1,50,50,1,Amorphous,,FALSE,purple,49
110,Weezing,Poison Gas Pokémon,poison,,['Levitate'],65,120,70,90,85,60,490,5120,60,1.2,9.5,50,50,1,Amorphous,,FALSE,purple,49
111,Rhyhorn,Spikes Pokémon,ground,rock,"['Lightningrod', 'Rock Head', 'Reckless']",80,95,30,85,30,25,345,5120,120,1,115,50,50,1,Monster,Field,FALSE,gray,50
112,Rhydon,Drill Pokémon,ground,rock,"['Lightningrod', 'Rock Head', 'Reckless']",105,120,45,130,45,40,485,5120,60,1.9,120,50,50,1,Monster,Field,FALSE,gray,50
113,Chansey,Egg Pokémon,normal,,"['Natural Cure', 'Serene Grace', 'Healer']",250,5,105,5,35,50,450,10240,30,1.1,34.6,0,100,1,Fairy,,FALSE,pink,51
114,Tangela,Vine Pokémon,grass,,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",65,115,40,55,100,60,435,5120,45,1,35,50,50,1,Grass,,FALSE,blue,52
115,Kangaskhan,Parent Pokémon,normal,,"['Early Bird', 'Scrappy', 'Inner Focus']",105,100,100,125,60,100,590,5120,45,2.2,80,0,100,1,Monster,,FALSE,brown,53
116,Horsea,Dragon Pokémon,water,,"['Swift Swim', 'Sniper', 'Damp']",30,70,25,40,70,60,295,5120,225,0.4,8,50,50,1,Water1,Dragon,FALSE,blue,54
117,Seadra,Dragon Pokémon,water,,"['Poison Point', 'Sniper', 'Damp']",55,95,45,65,95,85,440,5120,75,1.2,25,50,50,1,Water1,Dragon,FALSE,blue,54
118,Goldeen,Goldfish Pokémon,water,,"['Swift Swim', 'Water Veil', 'Lightningrod']",45,60,50,67,35,63,320,5120,225,0.6,15,50,50,1,Water2,,FALSE,red,55
119,Seaking,Goldfish Pokémon,water,,"['Swift Swim', 'Water Veil', 'Lightningrod']",80,65,80,92,65,68,450,5120,60,1.3,39,50,50,1,Water2,,FALSE,red,55
120,Staryu,Starshape Pokémon,water,,"['Illuminate', 'Natural Cure', 'Analytic']",30,55,55,45,70,85,340,5120,225,0.8,34.5,0,0,1,Water3,,FALSE,brown,56
121,Starmie,Mysterious Pokémon,water,psychic,"['Illuminate', 'Natural Cure', 'Analytic']",60,85,85,75,100,115,520,5120,60,1.1,80,0,0,1,Water3,,FALSE,purple,56
122,Mr. Mime,Barrier Pokémon,psychic,fairy,"['Soundproof', 'Filter', 'Technician']",40,65,120,45,100,90,460,6400,45,1.3,54.5,50,50,1,Human-Like,,FALSE,pink,57
123,Scyther,Mantis Pokémon,bug,flying,"['Swarm', 'Technician', 'Steadfast']",70,80,80,110,55,105,500,6400,45,1.5,56,50,50,1,Bug,,FALSE,green,58
124,Jynx,Humanshape Pokémon,ice,psychic,"['Oblivious', 'Forewarn', 'Dry Skin']",65,35,95,50,115,95,455,6400,45,1.4,40.6,0,100,1,Human-Like,,FALSE,red,59
125,Electabuzz,Electric Pokémon,electric,,"['Static', 'Vital Spirit']",65,57,85,83,95,105,490,6400,45,1.1,30,75,25,1,Human-Like,,FALSE,yellow,60
126,Magmar,Spitfire Pokémon,fire,,"['Flame Body', 'Vital Spirit']",65,57,85,95,100,93,495,6400,45,1.3,44.5,75,25,1,Human-Like,,FALSE,red,61
127,Pinsir,Stagbeetle Pokémon,bug,,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",65,120,90,155,65,105,600,6400,45,1.5,55,50,50,1,Bug,,FALSE,brown,62
128,Tauros,Wild Bull Pokémon,normal,,"['Intimidate', 'Anger Point', 'Sheer Force']",75,95,70,100,40,110,490,5120,45,1.4,88.4,100,0,1,Field,,FALSE,brown,63
129,Magikarp,Fish Pokémon,water,,"['Swift Swim', 'Rattled']",20,55,20,10,15,80,200,1280,255,0.9,10,50,50,1,Water2,Dragon,FALSE,red,64
130,Gyarados,Atrocious Pokémon,water,flying,"['Intimidate', 'Moxie']",95,109,130,155,70,81,640,1280,45,6.5,235,50,50,1,Water2,Dragon,FALSE,blue,64
131,Lapras,Transport Pokémon,water,ice,"['Water Absorb', 'Shell Armor', 'Hydration']",130,80,95,85,85,60,535,10240,45,2.5,220,50,50,1,Monster,Water1,FALSE,blue,65
132,Ditto,Transform Pokémon,normal,,"['Limber', 'Imposter']",48,48,48,48,48,48,288,5120,35,0.3,4,0,0,1,Ditto,,FALSE,purple,66
133,Eevee,Evolution Pokémon,normal,,"['Run Away', 'Adaptability', 'Anticipation']",55,50,65,55,45,55,325,8960,45,0.3,6.5,87.5,12.5,1,Field,,FALSE,brown,67
134,Vaporeon,Bubble Jet Pokémon,water,,"['Water Absorb', 'Hydration']",130,60,95,65,110,65,525,8960,45,1,29,87.5,12.5,1,Field,,FALSE,blue,67
135,Jolteon,Lightning Pokémon,electric,,"['Volt Absorb', 'Quick Feet']",65,60,95,65,110,130,525,8960,45,0.8,24.5,87.5,12.5,1,Field,,FALSE,yellow,67
136,Flareon,Flame Pokémon,fire,,"['Flash Fire', 'Guts']",65,60,110,130,95,65,525,8960,45,0.9,25,87.5,12.5,1,Field,,FALSE,red,67
137,Porygon,Virtual Pokémon,normal,,"['Trace', 'Download', 'Analytic']",65,70,75,60,85,40,395,5120,45,0.8,36.5,0,0,1,Mineral,,FALSE,pink,68
138,Omanyte,Spiral Pokémon,rock,water,"['Swift Swim', 'Shell Armor', 'Weak Armor']",35,100,55,40,90,35,355,7680,45,0.4,7.5,87.5,12.5,1,Water1,Water3,FALSE,blue,69
139,Omastar,Spiral Pokémon,rock,water,"['Swift Swim', 'Shell Armor', 'Weak Armor']",70,125,70,60,115,55,495,7680,45,1,35,87.5,12.5,1,Water1,Water3,FALSE,blue,69
140,Kabuto,Shellfish Pokémon,rock,water,"['Swift Swim', 'Battle Armor', 'Weak Armor']",30,90,45,80,55,55,355,7680,45,0.5,11.5,87.5,12.5,1,Water1,Water3,FALSE,brown,70
141,Kabutops,Shellfish Pokémon,rock,water,"['Swift Swim', 'Battle Armor', 'Weak Armor']",60,105,70,115,65,80,495,7680,45,1.3,40.5,87.5,12.5,1,Water1,Water3,FALSE,brown,70
142,Aerodactyl,Fossil Pokémon,rock,flying,"['Rock Head', 'Pressure', 'Unnerve']",80,85,95,135,70,150,615,8960,45,1.8,59,87.5,12.5,1,Flying,,FALSE,purple,71
